GEOID,percent_flood_100,percent_flood_500,percent_tidal,blue_percent,asthma,diabetes,vulnerable_age,minority_rate,old_home_rate,low_income_rate,unemployment_rate
11001009204,0,0,0,5.564908325,12.7,13.7,25.61983471,90.31877214,71.15825688,54.4108575,33.23130739
11001007304,20.14867239,21.51273804,0,1.874304623,13.7,14.6,19.27903263,95.23157655,39.99135322,60.51162791,40.65871664
11001003000,0,0,0,10.01064953,10.8,6.6,14.31400283,68.51485149,72.76243094,30.08631319,22.05781142
11001007502,0,0,0,0.998528405,13,15.1,21.50430086,98.87977596,68.78427788,57.47368421,45.60117302
11001007503,0,3.382242085,0,3.166304708,14.2,14,17.09016393,93.89344262,72.32597623,46.13756614,29.98296422
11001000902,35.11452778,36.13693717,10.37581905,12.31437886,9,6.5,29.33458294,19.96251172,71.15165336,5.411764706,37.47692308
11001001500,7.961507819,8.488602593,0,1.390227803,9,7.2,34.15198434,29.48923296,96.30642955,4.826254826,28.66870157
11001009603,0,0,0,4.96115528,13.1,15.1,19.10405309,100,79.99028655,49.57092378,36.19489559
11001000501,16.41231566,17.43396503,0,2.438628232,9.2,4.4,20.94555874,37.96561605,74.0523642,24.14414414,22.29559748
11001003302,0,0,0,6.613883376,9.7,4.7,14.31127013,52.28085868,94.48669202,19.06187625,18.49921834
11001008402,0,0,0,19.22162956,10.1,6.1,10.95033242,37.93508017,59.1995221,13.49262122,13.76064545
11001009602,24.91708248,40.40036069,6.712606701,24.81050566,15.5,14.1,18.23774199,98.66111815,57.44680851,64.39767129,36.76307008
11001000802,24.7783548,24.77993472,20.74324997,30.29754273,9.2,5.9,29.0497449,32.30229592,81.12840467,20.50754458,34.55395403
11001001301,4.318743252,4.577015043,0,0.933944887,9.2,6.6,25.49810845,31.95460277,79.98142127,27.22488038,32.47838617
11001002001,3.002418822,3.004094369,0,0.520839533,11.6,13.9,17.8679182,83.30539725,94.30008382,25.33333333,30.19281332
11001007708,27.40208126,32.61283138,16.82347622,21.05415127,14.2,14.2,19.06710311,99.91816694,97.10982659,46.82332463,39.43050193
11001001402,0.826923949,0.87769636,0,1.540976607,8.8,7.5,38.21674312,32.02408257,67.54285714,13.11970979,34.61395002
11001004702,0,0,0,18.52285988,9.4,3.5,8.831990794,33.1990794,9.502982107,13.86925795,13.87503667
11001007601,27.63040787,37.76098379,13.11449836,18.48959284,13.3,14.8,20.46878157,96.03960396,83.82413936,43.02942595,33.2795265
11001007504,0,0,0,1.047375684,13.6,13,19.04085258,98.65008881,68.74580818,65.2398524,36.51814424
11001009902,0,0,0,2.850572,12.4,13.7,25.52881109,91.86725018,93.66306028,29.87951807,22.12978369
11001002600,7.364028419,7.7912136,0,0.800322381,9.7,8.6,30.87664856,64.85647789,98.71794872,9.497206704,32.82520325
11001009601,46.96839749,51.43343419,26.01365924,19.86885625,14,14.4,18.21460775,94.90532011,90.62159215,48.51720047,46.13022113
11001000202,41.30274537,41.82158667,34.67500948,37.17898873,9.6,4.7,20.4086781,20.08072654,74.20333839,13.59170306,33.67889421
11001004300,0,0,0,8.208878805,9.4,4.8,13.6995669,41.48620925,67.19944406,4.915572233,17.30432608
11001006804,50.7206627,56.0447717,28.46923752,29.95476991,11.7,12.9,8.399440037,88.84741017,16.66666667,0,NA
11001004100,12.56444842,12.85629387,0,2.949777428,9,6.4,29.03089293,28.77697842,95.35891089,9.174311927,32.28271251
11001010100,0,0,0,6.978071007,8.8,4.6,10.45505829,38.84919143,56.71352399,19.56055734,14.55525606
11001004901,0,0,0,5.459456313,10,5.7,15.08429459,47.55989352,35.55447471,25.6155055,20.72313358
11001005900,0.467645491,5.864787406,0,13.51451104,9.7,4,7.199334166,32.83395755,17.80564263,18.27376939,25.32440352
11001009901,1.493612008,1.792622261,0,2.172398838,10.6,12,36.59231134,91.3146654,98.05375348,23.12565998,40.75699397
11001007901,0,0,0,5.304055677,12.2,9.4,27.35956334,78.53081647,85.17013713,33.19551093,42.00125471
11001001803,9.42699048,9.703772288,0,0.75285498,11.3,11.1,16.62714097,90.61923584,92.25235196,43.43434343,33.76760563
11001007406,0,0,0,0.587311331,15.7,12.6,8.776311095,100,76.30494505,45.97791798,38.336714
11001003301,0,0,0,5.370775167,9.7,5.2,12.53900709,46.55319149,89.77871444,4.199772985,11.13853749
11001007604,0,0,0,2.317300644,12.8,14.2,18.67308721,93.0176565,76.73563218,34.40530883,38.04052011
11001007605,0,0,0,1.010465818,13.1,14.8,25.6525178,98.10176641,94.13936317,46.41051567,44.3314849
11001007603,0,0,0,1.21501569,11.3,11.5,18.82737678,97.36042981,96.16326531,17.44080146,24.32989691
11001008100,0,0,0,4.69452872,9.1,4.1,12.25259189,17.02796104,95.54579674,3.691709845,12.63277693
11001008200,0,0,0,4.400255087,9.6,4.3,20.99821747,29.62566845,93.4655776,9.193121693,13.64195002
11001008302,0,0,0,26.80616939,9.2,4.5,14.62904911,23.30198537,70.67407922,5.042016807,18.38696197
11001008410,0,0,0,8.913778198,9.9,4.9,16.41721235,53.18054256,81.94285714,9.940828402,17.15170279
11001008701,0,0,0,2.562318897,10.2,6.2,10.16042781,50.57295646,82.87073751,12.65270506,21.70701682
11001008002,0,0,0,2.973012301,9.9,5.7,18.62446744,33.71880706,85.11326861,9.691011236,17.20647773
11001008702,0,0,0,7.874838176,10,5.1,12.46804885,61.06219824,30.00886525,18.70105942,11.80285344
11001007703,0,0,0,2.088155691,14.3,15.6,19.3697479,99.28571429,65.9044508,39.27178153,32.05518361
11001007707,0,0,0,1.592721063,13.1,14.1,24.67203682,98.6881473,87.93697686,34.25925926,43.75732708
11001007709,18.38745454,26.18546033,9.767369075,15.82118061,13.3,16.3,14.84872611,97.85031847,95.16728625,51.45554681,48.07121662
11001007803,4.994448899,5.448854681,0,1.708482753,13,13.6,28.20048309,98.83252818,51.48725212,50.41617122,38.52392539
11001007804,16.30437283,19.42866649,0,3.388781011,14.3,17.3,20.86807258,95.6841589,52.60361318,53.05223411,54.24511545
11001008803,0,0,0,4.450142601,11.2,6.2,4.65012296,71.13793874,46.10803913,22.11959164,24.24242424
11001008804,0,0,0,3.262825433,11.9,10.4,13.72968349,81.82207015,81.77988415,32.15946844,24.22928709
11001008903,0,0,0,1.046724094,13.1,11.8,12.81352236,94.79280262,70.24665982,42.04275534,23.36483932
11001008904,0,0,0,1.657412001,12.8,12.3,15.91740721,88.47360167,71.55599604,43.56435644,26.27899587
11001008802,0,0,0,3.935713836,11.4,9.1,15.57003257,76.26492942,78.68112014,27.52293578,24.25940753
